entity_id,support_size,Name_norm,Street_norm,City_norm,Zip_norm,Email_norm,Phone_norm,name_share,all_emails,all_phones
ent_0659fd3b3bd7,3,patrick mccall,smith viaduct 83,larryfort,91751,patrick.mccall@example.com,0561681472,0.3333333333333333,patrick.mccall@example.co;patrick.mccall@example.com,0560681472;0561681472
ent_06642f492c0a,3,ashley greer phd,golden bypass 158,bakerland,58050,ashley.greer.phd@example.com,0026012796,0.3333333333333333,ashle.greer.phd@example.com;ashley.greer.phd@example.com,0026012796
ent_0b3092293a05,3,jimmy scott,alexis junction 48,ashleyborough,23503,jimmy.scott@example.com,0565270477,0.6666666666666666,jimmy.scott@example.com,0565270477;0765270472
ent_0f1ec283362f,3,norman cook,pham way 2,west erik,92418,norman.cook@example.com,0546688937,0.6666666666666666,norman.cook@example.com,0546188937;0546688937
ent_11f67ba52a2b,3,chelsea travis,weaver extensions 189,johnsonton,30991,chelsea.travis@example.com,0833146591,0.6666666666666666,chelsea.trais@example.com;chelsea.travis@example.com;chlsea.travis@example.com,0833146591
ent_13f380eca875,3,jacob williams,april turnpike 8,paulmouth,6587,jacob.williams@example.com,0902559056,0.3333333333333333,jacob.williams@example.com,0902559056
ent_16a059ceb722,3,john hancock,franklin alley 177,bakermouth,37889,john.hancock@example.com,0280598262,0.6666666666666666,john.hancock@example.com,0220598262;0280598262
ent_1d30df464877,3,anthony adams,tonya springs 88,dwayneton,91018,anthony.adams@example.com,0579887749,0.3333333333333333,anthony.adams@example.com,0579887749
ent_1e295c05aed8,3,michelle craig,rich manors 121,new danielfurt,19549,michelle.craig@example.com,0884795137,0.6666666666666666,michelle.craig@example.com;michellecraig@example.com,0884795137
ent_1e4ca479bf0e,3,andrea jones,richard port 103,new brooke,81684,andrea.jones@example.com,0850142940,0.3333333333333333,andrea.jone@example.com;andrea.jones@example.com,0850142940
ent_2332fa9dec0d,3,elizabeth harrell,taylor club 183,port tammy,89148,elizabeth.harrell@example.com,0258313237,0.3333333333333333,elizabeth.harrel@example.com;elizabeth.harrell@example.co;elizabeth.harrell@example.com,0258313237;0758313837
ent_24b3922f32b8,3,jessica george,navarro rapids 80,anthonybury,88882,jessica.george@example.com,0535218188,1.0,jessica.george@example.com,0535218188
ent_25ec69a943d6,3,charles keller,robert harbor 31,new stacyburgh,82551,charles.keller@example.com,0709991738,0.6666666666666666,charles.kelle@example.com;charles.keller@example.com,0709921738;0709991738
ent_261e908a1a66,3,vickie wise,hannah voerpass 145,timothyside,95090,vickie.wise@example.com,0856420593,0.6666666666666666,vickie.wise@example.co;vickie.wise@example.com,0856420593
ent_29f36a0ee964,3,chad baldwin,johnson flats 110,port jameston,41866,chad.baldwin@example.com,0603341918,0.6666666666666666,chad.baldwin@example.com,0603341918
ent_31bf961dfe66,3,michael powell,glenn wells 197,port brian,4835,michael.powell@example.com,0015569902,1.0,michael.powell@example.com,0015569902
ent_31c595351506,3,julie curry,zoe keys 178,lake casey,85927,julie.curry@example.com,0400504556,0.6666666666666666,julie.curry@example.com,0400504556;0400704556
ent_31ecb02a7e15,3,jessica joyce,paul ports 87,west bradley,57655,jessica.joyce@example.com,0075273545,0.3333333333333333,jessica.joyce@example.com,0075273545
ent_336bc2913495,3,nicole bowers,amanda inlet 22,mckeeborough,48714,nicole.bowers@example.com,0426265511,0.6666666666666666,nicole.bowers@example.com,0426265511
ent_3e56b3e010a9,3,tamara davis,john radial 197,warrenfurt,41169,tamara.davis@example.com,0265676618,0.3333333333333333,tamara.davis@example.com;tamaradavis@example.com,0265676618
ent_420dce1cd88f,3,mr christopher walters,shannon fords 116,new kathy,64670,mr.christopher.walters@example.com,0846997335,0.6666666666666666,mr.christopher.walters@example.com,0846967335;0846997335;5846997335
ent_42af445e7ef4,3,david grant,obrien turnpike 18,port alexandra,59550,david.grant@example.com,0201836675,1.0,david.grant@example.com,0201836675
ent_42d4061b0caa,3,james lopez,angela overpass 155,donaldmouth,59614,james.lopez@example.com,0806865086,0.6666666666666666,james.lopez@example.com,0806865086
ent_44885e743112,3,trevor burton,webster trace 110,maldonadoshire,84779,trevor.burton@example.com,0870568566,0.3333333333333333,trevor.burto@example.com;trevor.burton@example.com;trvor.burton@example.com,0870568566
ent_476ddf22a7d3,3,william mcgee,curtis loop 21,new andrealand,79695,william.mcgee@example.com,0002194672,0.6666666666666666,william.mcgee@example.com,0002164672;0002194672
